File,,Time,UTC,9/26/22,16:57:10,,
SW,,iID®DataCaptureSoftware,,,,,
SW,,v01.09,,,,,
SW,,4/7/20,,arrive 1-2,,,
SW,,9/26/22,16:54:06,depart 2-1,,,
Lib,,v1.6.3,,,,,
Company,,GmbH,,,,,
OS,,v10.0.17763.865,,,,,
,,,,,,,
,,,,,,,
Settings,,,,,,,
,,mode,DOC,,,,
,,,,,,,
,,YES,,,,,
,,5,,,,,
,,,,,,,
Found,,,,,,,
,,ReaderID,HW-Info,FW-Info,Num-Antennas,,
,,25SQCMICSCB030EB4,,,,,
,,200330,D0.22,98.26.06,2,,
,,200328,D0.22,98.26.06,2,,
,,,,,,,
,,,,,,,
Timestamp,,HexAddress,ReaderID,UID,Collection,DataType,
9/26/22,14:33:35,10,200330,25SQCMICSBB1ADA00B24F,DOC,1,14:33:35
9/26/22,14:45:40,10,200330,25SQCMICSBB1ADA00B24F,DOC,1,14:45:40
9/26/22,14:45:41,10,200330,25SQCMICSBB1ADA00B24F,DOC,2,14:45:41
9/26/22,14:52:54,10,200330,25SQCMICSBB1ADA00B24F,DOC,1,14:52:54
9/26/22,15:05:33,10,200330,25SQCMICSBB1ADA00B24F,DOC,1,15:05:33
9/26/22,15:05:34,10,200330,25SQCMICSBB1ADA00B24F,DOC,2,15:05:34
9/26/22,15:13:34,10,200330,25SQCMICSBB1ADA00B24F,DOC,2,15:13:34
9/26/22,15:30:21,10,200330,25SQCMICSBB1ADA00B24F,DOC,1,15:30:21
9/26/22,15:30:21,10,200330,25SQCMICSBB1ADA00B24F,DOC,2,15:30:21
9/26/22,15:30:21,10,200330,25SQCMICSBB1ADA00B24F,DOC,1,15:30:21
9/26/22,15:30:21,10,200330,25SQCMICSBB1ADA00B24F,DOC,2,15:30:21
9/26/22,15:47:10,10,200330,25SQCMICSBB1ADA00B24F,DOC,2,15:47:10
9/26/22,15:47:11,10,200330,25SQCMICSBB1ADA00B24F,DOC,1,15:47:11
9/26/22,16:01:36,10,200330,25SQCMICSBB1ADA00B24F,DOC,1,16:01:36
9/26/22,16:01:36,10,200330,25SQCMICSBB1ADA00B24F,DOC,2,16:01:36
9/26/22,16:26:27,10,200330,25SQCMICSBB1ADA00B24F,DOC,2,16:26:27
9/26/22,16:26:27,10,200330,25SQCMICSBB1ADA00B24F,DOC,1,16:26:27
9/26/22,16:32:38,10,200330,25SQCMICSBB1ADA00B24F,DOC,1,16:32:38
9/26/22,16:32:39,10,200330,25SQCMICSBB1ADA00B24F,DOC,2,16:32:39
9/26/22,16:41:33,10,200330,25SQCMICSBB1ADA00B24F,DOC,2,16:41:33
9/26/22,16:41:34,10,200330,25SQCMICSBB1ADA00B24F,DOC,1,16:41:34
9/26/22,16:53:18,10,200330,25SQCMICSBB1ADA00B24F,DOC,1,16:53:18
9/26/22,16:53:20,10,200330,25SQCMICSBB1ADA00B24F,DOC,2,16:53:20
9/26/22,15:54:07,10,200330,25SQCMICSBB1B3500B1E4,DOC,2,15:54:07
9/26/22,15:54:08,10,200330,25SQCMICSBB1B3500B1E4,DOC,1,15:54:08
9/26/22,15:54:08,10,200330,25SQCMICSBB1B3500B1E4,DOC,2,15:54:08
9/26/22,15:54:08,10,200330,25SQCMICSBB1B3500B1E4,DOC,1,15:54:08
9/26/22,15:59:51,10,200330,25SQCMICSBB1B3500B1E4,DOC,1,15:59:51
9/26/22,15:59:52,10,200330,25SQCMICSBB1B3500B1E4,DOC,2,15:59:52
9/26/22,10:01:16,10,200330,25SQCMICSBB1D8000B0BD,DOC,2,10:01:16
9/26/22,10:18:00,10,200330,25SQCMICSBB1D8000B0BD,DOC,1,10:18:00
9/26/22,10:18:01,10,200330,25SQCMICSBB1D8000B0BD,DOC,2,10:18:01
9/26/22,10:23:23,10,200330,25SQCMICSBB1D8000B0BD,DOC,2,10:23:23
9/26/22,10:23:24,10,200330,25SQCMICSBB1D8000B0BD,DOC,1,10:23:24
9/26/22,10:37:31,10,200330,25SQCMICSBB1D8000B0BD,DOC,1,10:37:31
9/26/22,10:37:31,10,200330,25SQCMICSBB1D8000B0BD,DOC,2,10:37:31
9/26/22,10:44:23,10,200330,25SQCMICSBB1D8000B0BD,DOC,2,10:44:23
9/26/22,10:44:24,10,200330,25SQCMICSBB1D8000B0BD,DOC,1,10:44:24
9/26/22,10:44:24,10,200330,25SQCMICSBB1D8000B0BD,DOC,2,10:44:24
9/26/22,10:44:24,10,200330,25SQCMICSBB1D8000B0BD,DOC,1,10:44:24
9/26/22,11:00:12,10,200330,25SQCMICSBB1D8000B0BD,DOC,1,11:00:12
9/26/22,11:00:17,10,200330,25SQCMICSBB1D8000B0BD,DOC,1,11:00:17
9/26/22,11:14:40,10,200330,25SQCMICSBB1D8000B0BD,DOC,2,11:14:40
9/26/22,11:14:44,10,200330,25SQCMICSBB1D8000B0BD,DOC,1,11:14:44
9/26/22,11:14:44,10,200330,25SQCMICSBB1D8000B0BD,DOC,2,11:14:44
9/26/22,11:14:44,10,200330,25SQCMICSBB1D8000B0BD,DOC,1,11:14:44
9/26/22,11:14:44,10,200330,25SQCMICSBB1D8000B0BD,DOC,2,11:14:44
9/26/22,11:14:44,10,200330,25SQCMICSBB1D8000B0BD,DOC,1,11:14:44
9/26/22,11:14:44,10,200330,25SQCMICSBB1D8000B0BD,DOC,2,11:14:44
9/26/22,11:14:44,10,200330,25SQCMICSBB1D8000B0BD,DOC,1,11:14:44
9/26/22,11:14:44,10,200330,25SQCMICSBB1D8000B0BD,DOC,2,11:14:44
9/26/22,11:32:28,10,200330,25SQCMICSBB1D8000B0BD,DOC,1,11:32:28
9/26/22,11:32:28,10,200330,25SQCMICSBB1D8000B0BD,DOC,2,11:32:28
9/26/22,11:32:28,10,200330,25SQCMICSBB1D8000B0BD,DOC,1,11:32:28
9/26/22,11:32:28,10,200330,25SQCMICSBB1D8000B0BD,DOC,2,11:32:28
9/26/22,10:37:31,10,200330,25SQCMICSBB223F00B277,DOC,2,10:37:31
9/26/22,10:47:10,10,200330,25SQCMICSBB223F00B277,DOC,1,10:47:10
9/26/22,10:47:10,10,200330,25SQCMICSBB223F00B277,DOC,1,10:47:10
9/26/22,10:47:10,10,200330,25SQCMICSBB223F00B277,DOC,2,10:47:10
9/26/22,10:57:41,10,200330,25SQCMICSBB223F00B277,DOC,2,10:57:41
9/26/22,10:57:42,10,200330,25SQCMICSBB223F00B277,DOC,1,10:57:42
9/26/22,10:57:42,10,200330,25SQCMICSBB223F00B277,DOC,2,10:57:42
9/26/22,10:57:43,10,200330,25SQCMICSBB223F00B277,DOC,1,10:57:43
9/26/22,11:08:31,10,200330,25SQCMICSBB223F00B277,DOC,1,11:08:31
9/26/22,11:08:32,10,200330,25SQCMICSBB223F00B277,DOC,2,11:08:32
9/26/22,12:27:26,10,200330,25SQCMICSBB223F00B277,DOC,2,12:27:26
9/26/22,12:27:28,10,200330,25SQCMICSBB223F00B277,DOC,1,12:27:28
9/26/22,12:35:45,10,200330,25SQCMICSBB223F00B277,DOC,1,12:35:45
9/26/22,12:35:46,10,200330,25SQCMICSBB223F00B277,DOC,2,12:35:46
9/26/22,13:09:20,10,200330,25SQCMICSBB223F00B277,DOC,2,13:09:20
9/26/22,13:09:22,10,200330,25SQCMICSBB223F00B277,DOC,1,13:09:22
9/26/22,13:09:22,10,200330,25SQCMICSBB223F00B277,DOC,2,13:09:22
